Id,Price
4567,152920.79038176395
5925,121561.31101379405
960,144112.0581450181
3848,126662.72036431845
746,210900.8571006963
868,314368.6665842898
672,116958.19964944292
2471,195917.2643597845
4510,100739.88256940257
8354,245972.5319040416
6393,179321.58194513468
13270,229170.71103417504
5250,342937.6043130372
16751,180384.2152618305
11404,127310.55829768321
10588,277177.40362879145
14925,184306.50697456338
6791,191497.18398886317
16097,200474.86761303616
16428,362020.2431579546
6945,337224.1610886125
3190,185681.34749566016
15709,392846.28403612226
13155,173485.86570709507
7675,184371.03761616975
14686,230927.82849226493
609,152916.46520528194
11155,140756.54273443855
10869,201476.61768029493
15742,179967.01416323707
9245,188530.3224626088
3340,167358.78083637674
2359,275676.04379077314
8070,201862.78920467853
13707,117510.88036457919
16079,277936.0139419757
15937,305951.8134480588
14090,168434.14426940528
9008,224754.2804558704
16384,182461.26259751667
11657,247358.8235239002
13151,173625.2493354729
8990,151550.3393295887
11857,194973.7617563587
1565,172039.63934342828
8174,126474.59138317754
9247,244831.49959807732
10478,209947.92967328904
15509,149863.07951800976
8306,259816.77330430935
6642,186369.10513158608
7472,195103.2919971347
15989,139957.99644171825
13682,121950.6814615086
163,293960.4802261198
7076,174481.41175536465
7478,379075.00691509026
3029,191301.4003807396
1814,150101.0449793058
10057,151744.83443556324
15100,199338.51136250846
12694,239864.0181028376
6291,177340.17981065426
12603,198409.98386143232
3218,249203.35569290165
13456,134954.49366953224
10170,220988.9933593479
4530,159261.02106088056
13329,163963.9907259853
4820,140523.19703001846
10896,169430.45493653577
13416,117382.6774973758
2701,214316.09114225057
11265,320019.27011831535
9189,252790.63471647562
1858,187034.10770402287
14536,238285.91260241193
6199,310950.74624070263
14730,157976.501760194
7510,253056.43479286617
15505,153484.3290490601
7446,181016.71588511128
14016,197308.21684828415
14113,112103.26609709751
8721,274840.16202462936
6193,322224.7711689243
5717,184700.31079535242
5427,296214.97736121947
9520,475207.3063225935
6869,100228.0260293612
1658,147695.59352861368
6639,183647.37261425704
6283,181286.85612498448
6257,122145.13217545215
15235,189531.89509114262
902,209086.96407150367
8932,194041.7147570753
16469,421932.92482524854
2825,248162.78343162232
6450,414367.3157688962
11366,185535.80844719152
3801,355879.88445650006
11385,196333.0138721706
1079,187440.64356572783
3202,231289.44260146815
676,223991.42596654856
6185,267818.1488519226
7730,164892.1720323939
2573,183068.87197770004
10978,209875.41259402022
10962,252898.92103349688
8870,191727.87852001778
8496,175098.09369842388
5517,182028.86631939322
927,179335.3459224133
13675,197868.71248602017
1499,223653.17503062973
15536,342510.73490293266
8602,359607.93387627567
12137,433515.37416985055
9865,250699.70247028023
16353,291091.5167521565
15908,219541.04716197166
